# MIDI File Information
Filename,tx437pj1389-exp-tempo95.mid
Duration (seconds),584.53
Tempo Adjustment Factor,1.30
Resolution (ticks/beat),570

# Tempo Changes
Time (seconds),Tempo (BPM)
407,173.0644,173.3558,0.2914,66,F#4,88,44,0
408,173.1296,173.6166,0.4871,49,C#3,88,44,0
409,173.5461,173.7444,0.1983,61,C#4,86,43,0
410,173.7510,173.9705,0.2195,49,C#3,92,46,0
411,173.9173,174.1288,0.2115,51,D#3,92,46,0
412,174.0756,174.2658,0.1902,65,F4,88,44,0
413,174.0942,174.2113,0.1171,49,C#3,88,44,0
414,174.2884,174.4135,0.1250,49,C#3,92,46,0
415,174.4002,174.7713,0.3711,65,F4,94,47,0
416,174.4348,174.8977,0.4629,37,C#2,94,47,0
417,174.8525,175.0108,0.1583,49,C#3,88,44,0
418,175.0493,175.1917,0.1423,51,D#3,88,44,0
419,175.1451,175.3220,0.1769,65,F4,90,45,0
420,175.1970,175.6133,0.4164,49,C#3,90,45,0
421,175.5176,175.7331,0.2155,61,C#4,84,42,0
422,175.7238,175.9526,0.2288,49,C#3,80,40,0
423,175.8993,176.1468,0.2474,51,D#3,76,38,0
424,176.1268,176.2625,0.1357,49,C#3,72,36,0
425,176.3397,176.5312,0.1916,49,C#3,72,36,0
426,176.4195,176.7746,0.3552,63,D#4,74,37,0
